ts,worker,device_id,iter,warmup,interaction,request_id,response_type,e2e_ms,timed_out,service_ms,cache_lookup_ms,db_ms,stt_ms,embed_ms,search_ms,search_fallback_ms,llm_ms,resize_ms,vision_llm_ms,source,retrieval_scope,n_results,top_score,rate_limited,answer_chars,query_chars,audio_bytes,img_bytes_in,img_bytes_out,input,stage
2026-06-27T05:33:24.759993+00:00,2,pi-bench-002,0,True,voice,433ede9196d74bb48b2eb09e79407375,tts,41.93,False,0.73,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:25.259930+00:00,2,pi-bench-002,1,True,voice,65a30b0caf6c415eafabf7c785547834,tts,499.89,False,0.35,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:25.689249+00:00,2,pi-bench-002,2,False,voice,c808a2a09ba947d2b0926d7c1057d475,tts,429.28,False,0.16,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:26.244176+00:00,2,pi-bench-002,3,False,voice,b77f6cb678344941b52a25f4588882e0,tts,554.8,False,3.36,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:26.685124+00:00,2,pi-bench-002,4,False,voice,723daf507db647089de5e3f471e3e964,tts,440.56,False,1.87,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:26.941667+00:00,2,pi-bench-002,5,False,voice,70609897f0c94546a9f8d61a20e6d177,tts,256.47,False,0.29,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:27.359421+00:00,2,pi-bench-002,6,False,voice,cbf9d7648fcb4fb1a287cf9ddc49d1bb,tts,417.68,False,1.61,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:27.749469+00:00,2,pi-bench-002,7,False,voice,d03b47b1d6c34c02abd74afeb4a90122,tts,389.96,False,0.21,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:28.076304+00:00,2,pi-bench-002,8,False,voice,b8cc8fb937c746e393ae7d763e22cf47,tts,326.79,False,0.52,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:28.483854+00:00,2,pi-bench-002,9,False,voice,6ec7843b8bc84fab89dc52c46769359d,tts,407.47,False,0.38,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.125145+00:00,2,pi-bench-002,10,False,voice,379444925d554d5a8a61524a81b99ca4,tts,641.23,False,0.51,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.167277+00:00,2,pi-bench-002,11,False,voice,f8711498be1c48ea9d4b6d47d5ea6897,tts,41.99,False,1.38,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.209079+00:00,2,pi-bench-002,12,False,voice,113a700866d746c4ad6feafe8d9d3fa9,tts,41.69,False,0.64,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.251313+00:00,2,pi-bench-002,13,False,voice,657f7ebabee34065a0dc40c70e1892c3,tts,42.15,False,9.52,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.293113+00:00,2,pi-bench-002,14,False,voice,3ca0b638139e452292295c8d3ee983c9,tts,41.64,False,0.29,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.335203+00:00,2,pi-bench-002,15,False,voice,ad31c9348e004dd0a50e2ee5a8c0a07c,tts,42.0,False,0.15,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.377681+00:00,2,pi-bench-002,16,False,voice,e803532d44724975b54e55e7acd962a1,tts,42.43,False,0.67,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.421037+00:00,2,pi-bench-002,17,False,voice,84c2ef3ff27849ad960086fa50a8b21d,tts,43.25,False,0.17,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.463278+00:00,2,pi-bench-002,18,False,voice,1cfa7a259ede410f9ab4b44bef8554fd,tts,42.19,False,0.17,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.505080+00:00,2,pi-bench-002,19,False,voice,09ea6828f2d140efb4c3bf46af3a8065,tts,41.73,False,0.2,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.547075+00:00,2,pi-bench-002,20,False,voice,157464633b0246a0bc1c0b0b233b7795,tts,41.86,False,0.23,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.591714+00:00,2,pi-bench-002,21,False,voice,c23d185ee39544438b4bd8e88c6fc6be,tts,44.49,False,0.18,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:25.061488+00:00,6,pi-bench-006,0,True,voice,863992b6c5d24c12902f785b626a4fee,tts,344.0,False,234.06,,,,9.76,4.31,,,,,,scoped,2,0.4147,True,,24,,,,text,rag
2026-06-27T05:33:25.665522+00:00,6,pi-bench-006,1,True,voice,f0363c8a5f5f43758aab5462eef1c0f3,tts,603.96,False,169.05,,,,10.29,4.86,,,,,,scoped,1,0.3637,True,,24,,,,text,rag
2026-06-27T05:33:26.086549+00:00,6,pi-bench-006,2,False,voice,fa26d6046c454593ba9b59140b8c79bf,tts,420.96,False,39.52,,,,20.46,9.55,8.41,,,,,none,0,,,,25,,,,text,
2026-06-27T05:33:26.645413+00:00,6,pi-bench-006,3,False,voice,a197fd5d37bb4ae2be0ee282157f7714,tts,558.74,False,142.42,,,,11.45,3.64,4.41,,,,,fallback,3,0.4338,True,,27,,,,text,rag
2026-06-27T05:33:26.918501+00:00,6,pi-bench-006,4,False,voice,75e0bf26222f45ed8dfdda02ea4f5eeb,tts,272.94,False,37.52,,,,13.01,6.33,16.93,,,,,none,0,,,,38,,,,text,
2026-06-27T05:33:27.181097+00:00,6,pi-bench-006,5,False,voice,cedd174697c841428956e14817deb3d2,tts,262.5,False,31.68,,,,17.45,8.48,4.73,,,,,none,0,,,,28,,,,text,
2026-06-27T05:33:27.570843+00:00,6,pi-bench-006,6,False,voice,f2d01500521f42988e3054f47388e59b,tts,389.62,False,163.42,,,,12.03,22.62,,,,,,scoped,2,0.4147,True,,24,,,,text,rag
2026-06-27T05:33:28.075471+00:00,6,pi-bench-006,7,False,voice,5bc7e66f76bb4e2494c394801f550134,tts,504.51,False,145.03,,,,9.93,3.43,,,,,,scoped,1,0.3637,True,,24,,,,text,rag
2026-06-27T05:33:28.483170+00:00,6,pi-bench-006,8,False,voice,63069f5761674dc0aec06220b6b265cb,tts,407.6,False,23.65,,,,11.51,4.32,7.17,,,,,none,0,,,,25,,,,text,
2026-06-27T05:33:29.124357+00:00,6,pi-bench-006,9,False,voice,99c9b4b802664d76801725a8201bc32f,tts,641.08,False,297.51,,,,10.15,3.9,4.71,,,,,fallback,3,0.4338,True,,27,,,,text,rag
2026-06-27T05:33:29.167324+00:00,6,pi-bench-006,10,False,voice,d7f78d58f7b54101b96df08fa68fc488,tts,42.74,False,0.89,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.209371+00:00,6,pi-bench-006,11,False,voice,68f12044bab743c29aafa0a1399fe700,tts,41.9,False,0.25,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.251130+00:00,6,pi-bench-006,12,False,voice,b40a6ebf283a48e1a58524a09158783f,tts,41.65,False,0.31,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.292938+00:00,6,pi-bench-006,13,False,voice,b1271e0896cc4ea4ae68842f10863c86,tts,41.56,False,0.3,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.335052+00:00,6,pi-bench-006,14,False,voice,ce3eb0ec7c0142c090623f3ebd2fd338,tts,41.99,False,0.18,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.377827+00:00,6,pi-bench-006,15,False,voice,f5fd4cc9184c4acc91ab83c89426c2d8,tts,42.67,False,0.18,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.421220+00:00,6,pi-bench-006,16,False,voice,a7230373337f4c94afa2fd8418ff44a8,tts,43.35,False,0.13,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.463186+00:00,6,pi-bench-006,17,False,voice,faddc2c62aca44eb8cdbbb6e58d21a1d,tts,41.91,False,0.2,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.505032+00:00,6,pi-bench-006,18,False,voice,8092edbe05c3497c87677c6e4b004ba8,tts,41.79,False,0.19,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.547269+00:00,6,pi-bench-006,19,False,voice,3a5c06150d4d4a6f8bb1fae444aab660,tts,42.13,False,0.21,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.591852+00:00,6,pi-bench-006,20,False,voice,f06a11ce931b4d5983e90bb29364a5f0,tts,44.52,False,0.17,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:29.636349+00:00,6,pi-bench-006,21,False,voice,52485203013f44d68c4652d3e09781af,tts,44.4,False,0.36,,,,,,,,,,,,,,True,,,,,,,voice_rate_limit
2026-06-27T05:33:24.826095+00:00,4,pi-bench-004,0,True,voice,0b10ed9fa1e6425cbdb9c61392cd2263,tts,108.39,False,22.81,,,,12.21,6.1,3.8,,,,,none,0,,,,38,,,,text,
2026-06-27T05:33:25.494841+00:00,4,pi-bench-004,1,True,voice,7e294491566d42d6b2dc46d104faa643,tts,668.7,False,21.26,,,,10.85,4.81,4.79,,,,,none,0,,,,28,,,,text,
2026-06-27T05:33:26.047727+00:00,4,pi-bench-004,2,False,voice,981d133bb2314bf9bfd08cdff168fc7b,tts,552.79,False,187.53,,,,14.62,7.14,,,,,,scoped,1,0.381,True,,24,,,,text,rag
2026-06-27T05:33:26.501465+00:00,4,pi-bench-004,3,False,voice,0a48bbb806b54ad185f20847c3eb4dd0,tts,453.39,False,222.72,,,,10.34,3.21,,,,,,scoped,1,0.3592,True,,24,,,,text,rag
2026-06-27T05:33:26.880196+00:00,4,pi-bench-004,4,False,voice,f11197afc978433a9c05708e0f173bc8,tts,378.56,False,29.98,,,,19.15,5.75,3.71,,,,,none,0,,,,25,,,,text,
2026-06-27T05:33:27.150151+00:00,4,pi-bench-004,5,False,voice,00e2dbbb89e94d299030fad9c0ca3a66,tts,269.77,False,188.48,,,,10.21,3.95,,,,,,scoped,1,0.3943,True,,27,,,,text,rag
